.com,commercial,,"This is an open TLD; any person or entity is permitted to register. Though originally intended for use by for-profit business entities, for a number of reasons it became the main TLD for domain names and is currently used by all types of entities including nonprofits, schools, and private individuals. Domain name registrations may be successfully challenged if the holder cannot prove an outside relation justifying reservation of the name,[7] to prevent ""squatting"". It was originally administered by the United States Department of Defense.",Verisign,Verisign,
.org,organization,,"This is an open TLD; any person or entity is permitted to register. Originally created as a miscellaneous category as stated in RFC 920 (October 1984) ""...any other domains meeting the second level requirements,"" and clarified in RFC 1591 (March 1994), ""This domain is intended as the miscellaneous TLD for organizations that didn't fit anywhere else. Some non-government organizations may fit here.""[8][9] While mainly non-profits have used this domain, it was never restricted from miscellaneous use.",Public Interest Registry,Public Interest Registry,
.net,network,,"This is an open TLD; any person or entity is permitted to register. According to RFC 1591 (March 1994) ""This domain is intended to hold only the computers of network providers.""[9]",Verisign,Verisign,
.int,international,,"The .int TLD is strictly limited to organizations, offices, and programs endorsed by a treaty between two or more nations. However, a few grandfathered domains do not meet these criteria.",Internet Assigned Numbers Authority,Internet Assigned Numbers Authority,
.edu,education,,"The .edu TLD is limited to specific higher educational institutions such as, but not limited to, trade schools and universities. In the U.S., its use was restricted in 2001 to post-secondary institutions accredited by an agency on the list of nationally recognized accrediting agencies. This domain is therefore almost exclusively used by American colleges and universities. Some institutions, such as the Exploratorium, that do not meet the current registration criteria have grandfathered domain names.",Educause (via Verisign),Educause (via Verisign),
.gov,U.S. national and state government agencies,,"The .gov TLD is limited to United States governmental entities and agencies as well as qualifying state, county and local municipal government agencies, and tribal governments.",Cybersecurity and Infrastructure Security Agency (via Verisign),Cybersecurity and Infrastructure Security Agency (via Verisign),
.mil,,,,United States Department of Defense,United States Department of Defense,
.academy,"Schools, military academies, online learning websites, PTAs and student portals, or any site created to be educational on a particular topic.",,,Identity Digital[ID 1],Identity Digital[ID 1],—
.accountant,"Certified Public Accountants, tax advisors, corporate accountants, personal and business accountants, and professional CPA organizations.",,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.accountants,Accountants and accounting firms.,,,Identity Digital[ID 2],Identity Digital[ID 2],—
.active,,,,The Active Network,The Active Network,Reserved for Active Network.
.actor,"Aspiring actors and their agents, theaters and movie studios, entertainment outlets, streaming video sites, movie review sites, and celebrity gossip sites.",,,Identity Digital[n 1],Identity Digital[n 1],—
.ads,advertising,,,Charleston Road Registry Inc. (Google)[11],Charleston Road Registry Inc. (Google)[11],Reserved for Google AdSense.
.adult,"Sites providing sexually explicit content, such as pornography.",,,ICM Registry,ICM Registry,-
.aero,Air-transport industry.,,,SITA,SITA,Must verify eligibility for registration; only those in various categories of air-travel-related entities may register.
.africa,"African and pan-African topics, African Union",,,ZA Central Registry,ZA Central Registry,—
.agency,"Marketing and advertising agencies, PR or communications agencies, design firms, talent agencies, travel agencies, and other related agencies.",,,Identity Digital[ID 3],Identity Digital[ID 3],—
.airforce,"Military recruiters, flight training schools, supply companies, military aircraft suppliers and repair companies, and Air Force members and veterans.",,,Identity Digital[n 1],Identity Digital[n 1],—
.amazon,,,,Amazon,Amazon,Reserved for Amazon.
.analytics,,,,Campus IP LLC[11],Campus IP LLC[11],Reserved for SAS Institute.
.apartments,"Property (apartment) managers, condominium/apartment developers, college websites/centers, and city guides and community centers.",,,Identity Digital,Identity Digital,—
.app,Apps.[13],,,Google[n 2],Google[n 2],—
.apple,Apple.[14],,,Apple,Apple,Reserved for Apple.[15]
.archi,architects and architect firms[16],,,STARTING DOT LIMITED,STARTING DOT LIMITED,Restricted to individuals and organizations that can verify participation in architecture industry.[17]
.army,"Military recruiter, army supply stores, military training schools, army members and veterans",,,Identity Digital[n 1],Identity Digital[n 1],—
.art,"artists, museums, art galleries, dealers, service providers and contractors",,,UK Creative Ideas,UK Creative Ideas,—
.arte,,,,,,Reserved for Arte
.associates,"Accountants, law firms, consulting firms, real estate agencies, health & medical groups",,,Identity Digital[ID 4],Identity Digital[ID 4],—
.attorney,"Independent attorneys and law firms of any size, legal services entities, elected officials and judges, professional organizations, law students",,,Identity Digital[n 1],Identity Digital[n 1],—
.auction,"Auction houses & online auctions, car and truck auction, B2B commodity auctions, charity auctions for non-profits and schools, buyer and seller communities",,,Identity Digital[n 1],Identity Digital[n 1],—
.audible,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",Reserved for Audible
.audio,"stereo/sound systems, music",,,Uniregistry,Uniregistry,—
.author,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",—
.auto,vehicles,,,XYZ.com[11],XYZ.com[11],
.autos,vehicles,,,XYZ.com,XYZ.com,—
.aws,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",Reserved for Amazon Web Services
.baby,For selling baby-related products,,,XYZ.com[11],XYZ.com[11],
.band,"Music venues, ticket sale/resale sites, music band & musician sites, school band sites, music review sites",,,Identity Digital[n 1],Identity Digital[n 1],—
.bank,banks,,,"fTLD Registry Services, LLC","fTLD Registry Services, LLC",Restricted to banks and savings associations
.bar,Bars and related industry,,,Punto 2012,Punto 2012,—
.barefoot,,,,"Gallo Vineyards, Inc.[11]","Gallo Vineyards, Inc.[11]",Reserved for Gallo Vineyards Inc.
.bargains,"Online retailers, large and small, ""sale"" sections on retail websites, discount & overstock sites, bargain hunters, frugal-living bloggers",,,Identity Digital[ID 5],Identity Digital[ID 5],—
.baseball,baseball,,,"MLB Advanced Media DH, LLC[11]","MLB Advanced Media DH, LLC[11]",Reserved for MLB
.basketball,basketball,,,Fédération Internationale de Basketball (FIBA)[11],Fédération Internationale de Basketball (FIBA)[11],Reserved for FIBA
.beauty,beauty,,,XYZ.com[11],XYZ.com[11],—
.beer,breweries and beer aficionados,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.best,,,,BestTLD Pty Ltd,BestTLD Pty Ltd,—
.bestbuy,,,,"BBY Solutions, Inc.[11]","BBY Solutions, Inc.[11]",Reserved for Best Buy
.bet,gambling,,,Identity Digital plc[11],Identity Digital plc[11],—
.bible,,,,American Bible Society[11],American Bible Society[11],—
.bid,auctions,,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.bike,"Bicycle & motorcycle enthusiasts, bike retailers & gear shops, bike repair shops, biking event organizers, bike or motorcycle clubs",,,Identity Digital[ID 6],Identity Digital[ID 6],—
.bingo,"Bingo halls, casinos, online & casual gaming sites, travel agencies",,,Identity Digital,Identity Digital,—
.bio,Organic agriculture[20],,,Identity Digital[23],Identity Digital[23],"Open TLD;however, registrants who are ""producers, transformers and retailers, or otherwise involved in the field of agriculture, food and farming"" must comply with the Principles of Organic Agriculture.[21][22]"
.biz,business,,,NeuStar,NeuStar,"Open TLD;however, registrations may be challenged later if they are not held by commercial entities in accordance with the domain's charter."
.black,those who like the color black[24],,,Identity Digital,Identity Digital,—
.blackfriday,"Black Friday, retail",,,Uniregistry,Uniregistry,—
.blockbuster,,,,Dish DBS Corporation[11],Dish DBS Corporation[11],Reserved for Blockbuster LLC
.blog,Blogs,,,Automattic[25],Automattic[25],—
.blue,those who like the color blue[26],,,Identity Digital,Identity Digital,—
.boo,—,,,Google[n 2],Google[n 2],—
.book,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",
.boots,,,,THE BOOTS COMPANY PLC[11],THE BOOTS COMPANY PLC[11],Reserved for Boots Company Ltd
.boston,"websites related to the city of Boston, Massachusetts USA",,,"Boston TLD Management, LLC[11]","Boston TLD Management, LLC[11]",
.bot,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]","Previously restricted to online ""bots"" using approved frameworks (Amazon Lex, Dialogflow, Gupshup, Microsoft Bot Framework, and Pandorabots)[27] and now has no restrictions.[28]"
.boutique,"Specialty online retailers, vintage shops, designers, artists and artisans, craftspeople",,,Identity Digital[ID 7],Identity Digital[ID 7],—
.box,"individuals and businesses, in order to promote personal cloud storage",,,NS1 Limited,NS1 Limited,—
.broadway,Broadway theatre,,,"Celebrate Broadway, Inc.[11]","Celebrate Broadway, Inc.[11]",Reserved for members of the Broadway League
.broker,,,,DOTBROKER REGISTRY LTD[11],DOTBROKER REGISTRY LTD[11],
